text,label
"Bom dia, poderia enviar o status do chamado 4587 e a previsao de resolucao?",Produtivo
"Preciso do boleto atualizado para pagamento ainda hoje.",Produtivo
"Segue em anexo o contrato assinado. Favor confirmar recebimento.",Produtivo
"Podem ajustar o acesso do usuario maria.silva ao sistema financeiro?",Produtivo
"Temos uma falha no login do portal. Podem verificar?",Produtivo
"Solicito reembolso da nota fiscal 3321 conforme politica.",Produtivo
"Qual o prazo estimado para a entrega do equipamento solicitado?",Produtivo
"Favor corrigir o cadastro do cliente XPTO com o novo CNPJ.",Produtivo
"Poderiam enviar a proposta comercial atualizada?",Produtivo
"Precisamos de suporte para integrar a API ao nosso ERP.",Produtivo
"Obrigado pelo atendimento rapido, tudo resolvido.",Improdutivo
"Parabens pelo excelente trabalho na ultima reuniao.",Improdutivo
"Bom dia equipe, desejo uma otima semana a todos.",Improdutivo
"So passando para agradecer a disponibilidade.",Improdutivo
"Feliz aniversario da empresa!",Improdutivo
"Voces viram o jogo ontem?",Improdutivo
"Apenas confirmando que recebi a mensagem, obrigado.",Improdutivo
"Boa tarde, gostei do evento de ontem.",Improdutivo
"Mensagem de teste, favor ignorar.",Improdutivo
"Muito obrigado pelo apoio, sem novas demandas.",Improdutivo
